name,type,start_time,duration,"value","protocol","severity","rule","summary","field","message"
"Regress HLA","optical_event",0.12036369,0.00002147,,"CMIS",,,"Read Reg[0x8A] = 0x00",,
"Regress HLA","optical_event",0.12038645,0.00002147,,"CMIS",,,"Read Reg[0x8B] = 0x00",,
"Regress HLA","optical_event",0.1204092,0.00002148,,"CMIS",,,"Read Reg[0x8C] = 0x00",,
"Regress HLA","optical_event",0.12043197,0.00002147,,"CMIS",,,"Read Reg[0x8D] = 0x00",,
"Regress HLA","optical_event",0.12045473,0.00002177,,"CMIS",,,"Read Reg[0x8E] = 0x00",,
"Regress HLA","optical_field",0.12047778,0.00002147,"no lanes selected","CMIS",,,,"ApplyDPInit",
"Regress HLA","optical_field",0.12050054,0.00002147,"no lanes selected","CMIS",,,,"ApplyImmediate",
"Regress HLA","optical_field",0.1205233,0.00002148,"AppSel=1, DataPathID=0, ExplicitControl=0","CMIS",,,,"Lane 1 DataPath Ctrl",
"Regress HLA","optical_field",0.12054606,0.00002147,"AppSel=1, DataPathID=0, ExplicitControl=0","CMIS",,,,"Lane 2 DataPath Ctrl",
"Regress HLA","optical_field",0.12056882,0.00002147,"AppSel=1, DataPathID=2, ExplicitControl=0","CMIS",,,,"Lane 3 DataPath Ctrl",
"Regress HLA","optical_field",0.12059157,0.00002148,"AppSel=1, DataPathID=2, ExplicitControl=0","CMIS",,,,"Lane 4 DataPath Ctrl",
"Regress HLA","optical_field",0.12061433,0.00002148,"AppSel=1, DataPathID=4, ExplicitControl=0","CMIS",,,,"Lane 5 DataPath Ctrl",
"Regress HLA","optical_field",0.1206371,0.00002147,"AppSel=1, DataPathID=4, ExplicitControl=0","CMIS",,,,"Lane 6 DataPath Ctrl",
"Regress HLA","optical_field",0.12065985,0.00002148,"AppSel=1, DataPathID=6, ExplicitControl=0","CMIS",,,,"Lane 7 DataPath Ctrl",
"Regress HLA","optical_field",0.12068261,0.00002148,"AppSel=1, DataPathID=6, ExplicitControl=0","CMIS",,,,"Lane 8 DataPath Ctrl",
"Regress HLA","optical_event",0.12070537,0.00002148,,"CMIS",,,"Read Reg[0x99] = 0xFF",,
"Regress HLA","optical_event",0.12072814,0.00002147,,"CMIS",,,"Read Reg[0x9A] = 0x00",,
"Regress HLA","optical_event",0.12075089,0.00002148,,"CMIS",,,"Read Reg[0x9B] = 0x00",,
"Regress HLA","optical_event",0.12077365,0.00002177,,"CMIS",,,"Read Reg[0x9C] = 0x00",,
"Regress HLA","optical_event",0.1207967,0.00002148,,"CMIS",,,"Read Reg[0x9D] = 0x00",,
"Regress HLA","optical_event",0.12081946,0.00002147,,"CMIS",,,"Read Reg[0x9E] = 0x00",,
"Regress HLA","optical_event",0.12084221,0.00002135,,"CMIS",,,"Read Reg[0x9F] = 0x00",,
"Regress HLA","optical_event",0.122087,0.0000213,,"CMIS",,,"Set Reg Address -> 0x7F (127)",,
"Regress HLA","optical_event",0.12210958,0.00002113,,"CMIS",,,"Page Select -> Page 0x11",,
"Regress HLA","optical_event",0.13508687,0.00002114,,"CMIS",,,"Set Reg Address -> 0x86 (134)",,
"Regress HLA","optical_field",0.13513613,0.00002153,"0x00 (none)","CMIS",,,,"DP State Changed Flags",
"Regress HLA","optical_field",0.13515894,0.00002148,"0x00 (none)","CMIS",,,,"Tx Fault Flags",
"Regress HLA","optical_field",0.1351817,0.00002187,"0x00 (none)","CMIS",,,,"Tx LOS Flags",
"Regress HLA","optical_field",0.13520485,0.00002148,"0x00 (none)","CMIS",,,,"Tx CDRLOL Flags",
"Regress HLA","optical_field",0.13522762,0.00002147,"0x00 (none)","CMIS",,,,"Tx Adaptive EQ Fail Flags",
"Regress HLA","optical_field",0.13525037,0.00002148,"0x00 (none)","CMIS",,,,"Tx Power High Alarm Flags",
"Regress HLA","optical_field",0.13527313,0.00002148,"0x00 (none)","CMIS",,,,"Tx Power Low Alarm Flags",
"Regress HLA","optical_field",0.13529589,0.00002148,"0x00 (none)","CMIS",,,,"Tx Power High Warn Flags",
"Regress HLA","optical_field",0.13531865,0.00002148,"0x00 (none)","CMIS",,,,"Tx Power Low Warn Flags",
"Regress HLA","optical_field",0.13534141,0.00002148,"0x00 (none)","CMIS",,,,"Tx Bias High Alarm Flags",
"Regress HLA","optical_field",0.13536417,0.00002148,"0x00 (none)","CMIS",,,,"Tx Bias Low Alarm Flags",
"Regress HLA","optical_field",0.13538693,0.00002148,"0x00 (none)","CMIS",,,,"Tx Bias High Warn Flags",
"Regress HLA","optical_field",0.13540969,0.00002148,"0x00 (none)","CMIS",,,,"Tx Bias Low Warn Flags",
"Regress HLA","optical_field",0.13543245,0.00002148,"0xFF (1, 2, 3, 4, 5, 6, 7, 8)","CMIS",,,,"Rx LOS Flags",
"Regress HLA","optical_field",0.13545521,0.00002148,"0x00 (none)","CMIS",,,,"Rx LOL Flags",
"Regress HLA","optical_field",0.13547797,0.00002148,"0x00 (none)","CMIS",,,,"Rx Power High Alarm Flags",
"Regress HLA","optical_field",0.13550073,0.00002177,"0x00 (none)","CMIS",,,,"Rx Power Low Alarm Flags",
"Regress HLA","optical_field",0.13552378,0.00002148,"0x00 (none)","CMIS",,,,"Rx Power High Warn Flags",
"Regress HLA","optical_field",0.13554654,0.00002148,"0x00 (none)","CMIS",,,,"Rx Power Low Warn Flags",
"Regress HLA","optical_field",0.1355693,0.00002148,"0x00 (none)","CMIS",,,,"Rx Output Status Changed Flags",
"Regress HLA","optical_field",0.13561482,0.00002148,"-40.00 dBm (0.1 uW)","CMIS",,,,"OpticalPowerTx1",
"Regress HLA","optical_field",0.13566034,0.00002148,"-40.00 dBm (0.1 uW)","CMIS",,,,"OpticalPowerTx2",
"Regress HLA","optical_field",0.13570586,0.00002148,"-40.00 dBm (0.1 uW)","CMIS",,,,"OpticalPowerTx3",
